OBS,INTRATE,INFL,PROD,UNEMPL,COMMPRI,PCE,PERSINC,HOUST
2011:3,0.14,2.60003,4.64281,1.07003,13.33333,4.83384,2.9176,-5.66038
2011:4,0.1,3.07302,3.74114,1.12489,9.61538,5.12224,1.89337,-19.35953
2011:5,0.09,3.50623,2.47178,0.8026,-1.29032,5.05809,1.16321,-3.77358
2011:6,0.09,3.54603,2.48039,1.04488,19.29825,5.02169,1.56062,13.43284
2011:7,0.07,3.6182,2.49034,1.18422,2.6087,5.32977,1.88194,14.10256
2011:8,0.1,3.73236,2.69818,1.3127,-9.7561,4.86479,1.50086,-2.33723
2011:9,0.08,3.84504,2.53279,1.52195,-20.56738,5.08039,1.33326,9.42761
2011:10,0.07,3.53249,3.38133,1.46927,-42.25352,4.67821,1.17742,12.33886
2011:11,0.08,3.45808,3.29112,1.48704,-35.2518,4.12412,0.78221,30.45872
2011:12,0.07,3.01946,2.81933,1.59081,-34.48276,3.74853,0.85468,28.75696
2012:1,0.08,2.97808,3.67402,1.82303,-31.90184,4.11277,1.0737,14.7619
2012:2,0.1,2.85011,4.63999,1.88178,-25,4.44047,1.34048,36.17021
2012:3,0.13,2.59111,3.21148,1.88645,-28.23529,3.88151,1.70369,15.83333
2012:4,0.14,2.28871,4.55274,1.70392,-28.65497,3.81756,2.16743,35.92058
2012:5,0.16,1.76331,4.56192,1.71019,-37.9085,3.52855,2.24163,26.20321
2012:6,0.16,1.70452,4.36967,1.59399,-45.58824,3.33539,1.94145,24.50658
2012:7,0.16,1.43026,4.28692,1.63805,-33.05085,3.24132,1.27079,18.7801
2012:8,0.13,1.68163,3.15264,1.6819,-2.7027,3.34276,1.15985,28.88889
2012:9,0.14,1.94641,3.33596,1.61934,3.57143,3.60499,1.99426,30.30769
2012:10,0.16,2.1569,2.72697,1.63975,34.14634,3.43844,2.52323,50
2012:11,0.16,1.78483,3.61406,1.65152,16.66667,3.6394,4.10164,17.15893
2012:12,0.16,1.76403,3.31661,1.69915,16.84211,3.85969,6.2392,40.63401
2013:1,0.14,1.60542,2.49274,1.56293,1.8018,3.64678,-0.80898,23.92808
2013:2,0.15,1.9554,2.76918,1.61024,0,3.57221,-0.86466,35.08523
2013:3,0.14,1.46154,3.6261,1.53209,-10.65574,3.49727,-0.71985,43.02158
2013:4,0.15,1.10086,2.59782,1.60585,-18.03279,3.11055,-0.67292,12.6162
2013:5,0.11,1.41556,2.37241,1.68367,4.21053,3.42823,-0.34604,29.23729
2013:6,0.09,1.76336,2.51796,1.75194,41.89189,3.89667,-0.29715,9.77543
2013:7,0.09,1.95516,1.77788,1.73993,24.05063,3.7012,-0.11654,21.35135
2013:8,0.08,1.51379,2.96979,1.78813,0,3.66328,0.43743,17.37401
2013:9,0.08,1.14979,3.4206,1.79068,-2.58621,3.39905,0.1866,1.88902
2013:10,0.09,0.91948,3.60483,1.79676,0.90909,3.5911,-0.66706,2.29508
2013:11,0.08,1.22972,3.17048,1.90808,0,3.99811,-1.96869,32.65306
2013:12,0.09,1.51234,3.25355,1.76774,-3.6036,3.92256,-4.90733,5.94262
2014:1,0.07,1.56147,2.94457,1.73623,7.07965,3.19113,1.59545,0.11161
2014:2,0.07,1.10491,3.24392,1.6393,-2.43902,3.01634,1.6077,-2.41851
2014:3,0.08,1.53614,3.63652,1.71895,8.25688,3.76402,1.70637,-4.42656
2014:4,0.09,1.96239,3.90419,1.82181,13,3.97334,1.5835,25.35377
2014:5,0.09,2.13636,4.29276,1.83136,21.21212,4.00803,1.38354,7.54098
2014:6,0.1,2.0755,4.51438,1.94635,10.47619,4.01487,1.41704,9.38628
2014:7,0.09,1.99655,5.05203,2.00632,21.42857,4.00272,1.57378,22.27171
2014:8,0.09,1.71141,4.35206,1.9711,7.40741,4.39035,1.51486,8.81356
2014:9,0.09,1.66422,4.53604,2.04202,5.30973,4.19565,1.29569,19.11935
2014:10,0.09,1.65111,4.40681,2.03575,-3.6036,4.17424,1.88465,16.66667
2014:11,0.09,1.28144,5.18284,2.10822,-15.2381,4.0586,2.21122,-5.61086
2014:12,0.12,0.66285,4.87824,2.26658,-28.03738,3.58454,2.98341,5.31915
